location,lat,lon,asl,variable,unit,level,timeResolution,aggregation,Value
Arunachal Pradesh_cropField#10,27.99062,95.32318,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,2.23
Arunachal Pradesh_cropField#11,1.47303,5.01541,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#12,2.94799,10.02985,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.27
Arunachal Pradesh_cropField#13,4.42069,15.04657,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.99
Arunachal Pradesh_cropField#14,5.89566,20.06100,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.67
Arunachal Pradesh_cropField#15,7.36835,25.07773,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.59
Arunachal Pradesh_cropField#16,8.84332,30.09218,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.82
Arunachal Pradesh_cropField#17,10.31602,35.10889,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.18
Arunachal Pradesh_cropField#18,11.79099,40.12334,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.65
Arunachal Pradesh_cropField#19,13.26368,45.14006,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.98
Arunachal Pradesh_cropField#20,14.73865,50.15450,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#21,16.21134,55.17122,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#22,17.68404,60.18565,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#23,19.15900,65.20238,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#24,20.63170,70.21681,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#25,22.10667,75.23354,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.55
Arunachal Pradesh_cropField#26,23.57936,80.24799,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.54
Arunachal Pradesh_cropField#27,25.05434,85.26471,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.59
Arunachal Pradesh_cropField#28,26.52703,90.27914,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.19
Arunachal Pradesh_cropField#29,28.00200,95.29358,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.28
Arunachal Pradesh_cropField#30,2.54283,8.65959,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#31,5.08761,17.31821,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.17
Arunachal Pradesh_cropField#32,7.63012,25.97682,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.52
Arunachal Pradesh_cropField#33,10.17489,34.63545,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.98
Arunachal Pradesh_cropField#34,12.71739,43.29407,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#35,15.25990,51.95268,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#36,17.80467,60.61130,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#37,20.34718,69.27220,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#38,22.89195,77.93082,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.65
Arunachal Pradesh_cropField#39,25.43446,86.58945,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.72
Arunachal Pradesh_cropField#40,27.97923,95.24805,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.32
Arunachal Pradesh_cropField#41,2.15361,7.32574,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#42,4.30688,14.65051,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,2.42
Arunachal Pradesh_cropField#43,6.46015,21.97528,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.91
Arunachal Pradesh_cropField#44,8.61343,29.30006,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.7
Arunachal Pradesh_cropField#45,10.76897,36.62483,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.82
Arunachal Pradesh_cropField#46,12.92225,43.95189,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,2.0
Arunachal Pradesh_cropField#47,15.07552,51.27666,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#48,17.22880,58.60143,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#49,19.38207,65.92621,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#50,21.53535,73.25098,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.52
Arunachal Pradesh_cropField#51,23.68862,80.57574,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.71
Arunachal Pradesh_cropField#52,25.84417,87.90051,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.91
Arunachal Pradesh_cropField#53,27.99744,95.22757,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.99
Arunachal Pradesh_cropField#54,1.99427,6.80222,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,
Arunachal Pradesh_cropField#55,3.99049,13.60574,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,1.34
Arunachal Pradesh_cropField#56,5.98671,20.40927,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.84
Arunachal Pradesh_cropField#57,7.98065,27.21280,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.6
Arunachal Pradesh_cropField#58,9.97686,34.01405,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.78
Arunachal Pradesh_cropField#59,11.97308,40.81757,,SOILGRIDS2 Total Nitrogen Content,g/kg,30-60 cm,static,none,0.81
